Age,b,m,f
0,165298,85616,79682
1,181522,93907,87615
2,193864,100437,93427
3,208619,107920,100699
4,214922,111691,103231
5,216974,112194,104780
6,196786,101885,94901
7,234054,121015,113039
8,208423,108076,100347
9,172070,89522,82548
10,190919,99574,91345
11,196826,102643,94183
12,206650,107979,98671
13,205514,107487,98027
14,206993,107954,99039
15,216277,113185,103092
16,223872,117433,106439
17,243307,127094,116213
18,250254,130039,120215
19,298629,155651,142978
20,286112,149244,136868
21,267516,139110,128406
22,312477,162615,149862
23,320445,166082,154363
24,322875,167342,155533
25,322083,166731,155352
26,322749,166955,155794
27,318978,165764,153214
28,315508,164374,151134
29,328216,170707,157509
30,313730,161995,151735
31,336840,173280,163560
32,308135,157928,150207
33,298836,151239,147597
34,332255,166933,165322
35,362143,180752,181391
36,373433,186227,187206
37,396998,196410,200588
38,410348,202627,207721
39,407261,200621,206640
40,414442,204598,209844
41,406088,200226,205862
42,383361,188474,194887
43,415749,204678,211071
44,364279,178835,185444
45,353093,172527,180566
46,348576,171001,177575
47,347580,169661,177919
48,354315,173872,180443
49,364643,179373,185270
50,366477,180231,186246
51,364000,179365,184635
52,354853,174749,180104
53,359314,177155,182159
54,361726,177639,184087
55,369967,181592,188375
56,371546,181634,189912
57,371426,181521,189905
58,361606,176769,184837
59,351087,171643,179444
60,351596,170380,181216
61,350666,169898,180768
62,315187,152075,163112
63,328489,158065,170424
64,317438,152907,164531
65,306685,146711,159974
66,289372,138156,151216
67,280259,133270,146989
68,280175,132156,148019
69,242855,115274,127581
70,220357,103195,117162
71,193820,90523,103297
72,169567,79296,90271
73,138117,63869,74248
74,106466,48583,57883
75,125614,56888,68726
76,126779,57203,69576
77,121645,54108,67537
78,117022,51660,65362
79,114007,49728,64279
80,106105,45260,60845
81,93928,39447,54481
82,85980,35579,50401
83,77062,31839,45223
84,69967,28211,41756
85,62830,25508,37322
86,55361,22634,32727
87,49124,20767,28357
88,45259,19713,25546
89,39091,17540,21551
90,33102,14914,18188
91,27164,12252,14912
92,21703,9858,11845
93,17648,7855,9793
94,13152,5912,7240
95,8900,3908,4992
96,6604,2751,3853
97,4867,2094,2773
98,3480,1503,1977
99,2254,970,1284
100,3957,1736,2221
